"id","id_first","id_second","weight"
"-18125987501965925397",-1812598750,1965925397,1
"1965925397422624338",1965925397,422624338,1
"19659253971461459987",1965925397,1461459987,1
"1965925397-1956439022",1965925397,-1956439022,1
"19659253971656851542",1965925397,1656851542,1
"-13741475192052240402",-1374147519,2052240402,1
"-1374147519-654881761",-1374147519,-654881761,1
"-1374147519-611751909",-1374147519,-611751909,1
"-1374147519-1812598750",-1374147519,-1812598750,1
"-13741475191965925397",-1374147519,1965925397,1
"-1374147519-611751918",-1374147519,-611751918,1
"-6117519181965925397",-611751918,1965925397,1
"257134610831647776",257134610,831647776,1
"257134610-164953023",257134610,-164953023,1
"257134610472545345",257134610,472545345,1
"831647776257134610",831647776,257134610,1
"-164953023257134610",-164953023,257134610,1
"472545345257134610",472545345,257134610,1
"-671628267781614166",-671628267,781614166,1
"-1579550694781614166",-1579550694,781614166,1
"-1579550694-671628267",-1579550694,-671628267,1
"1490302992781614166",1490302992,781614166,1
"1490302992-671628267",1490302992,-671628267,1
"1490302992-1579550694",1490302992,-1579550694,1
"-256548848781614166",-256548848,781614166,1
"-256548848-671628267",-256548848,-671628267,1
"-2565488481490302992",-256548848,1490302992,1
"-1548683243781614166",-1548683243,781614166,1
"-1548683243-671628267",-1548683243,-671628267,1
"-15486832431490302992",-1548683243,1490302992,1
"226457686781614166",226457686,781614166,1
"226457686-671628267",226457686,-671628267,1
"226457686-1579550694",226457686,-1579550694,1
"2264576861490302992",226457686,1490302992,1
"226457686-256548848",226457686,-256548848,1
"226457686-1548683243",226457686,-1548683243,1
"-256548834781614166",-256548834,781614166,1
"-256548834-671628267",-256548834,-671628267,1
"-256548834226457686",-256548834,226457686,1
"-1644569514-671628267",-1644569514,-671628267,1
"-1644569514-1579550694",-1644569514,-1579550694,1
"-16445695141490302992",-1644569514,1490302992,1
"-671628267-1579550694",-671628267,-1579550694,3
"-6716282671490302992",-671628267,1490302992,3
"-671628267-256548848",-671628267,-256548848,3
"-671628267-1548683243",-671628267,-1548683243,3
"-671628267226457686",-671628267,226457686,3
"-256548848-597267430",-256548848,-597267430,7
"-671628267244531265",-671628267,244531265,3
"-671628267-597267430",-671628267,-597267430,3
"781614166244531265",781614166,244531265,3
"-15795506941490302992",-1579550694,1490302992,3
"1490302992-256548848",1490302992,-256548848,3
"-1548683243-597267430",-1548683243,-597267430,7
"-1579550694226457686",-1579550694,226457686,3
